Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
650.6691,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.1016359,0.484651,0.05681926,0.8669229,1,0,0,0,72.82068,111.7977,0,1,0,0,0,0,0,0,1,1,0.02325272,0.02660089,0.008990428,0.9993352
650.7195,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.09835471,0.5016761,0.05754074,0.8575177,1,0,0,0,75.51775,115.9383,0,1,0,0,0,0,0,0,1,1,0.03367265,0.05467381,0.01767359,0.9977797
650.7693,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.09257248,0.5304683,0.05841818,0.8406076,1,0,0,0,74.16921,113.868,0,1,0,0,0,0,0,0,1,1,0.04361366,0.08165747,0.01532901,0.9955876
650.8197,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.08760785,0.5699026,0.06128179,0.8147272,1,0,0,0,75.51775,115.9383,0,1,0,0,0,0,0,0,1,1,0.03433968,0.06426028,0.01176884,0.9972727
650.8692,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.08380996,0.609924,0.06509135,0.7853227,1,0,0,0,74.16921,113.868,0,1,0,0,0,0,0,0,1,1,0.03971663,0.06184572,0.006473551,0.9972741
650.9196,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.08480373,0.6499857,0.07333549,0.7516308,1,0,0,0,75.51775,115.9383,0,1,0,0,0,0,0,0,1,1,0.03639481,0.07098261,0.02348333,0.9965367
650.9691,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.08803366,0.686779,0.08437426,0.7165653,1,0,0,0,74.16921,113.868,0,1,0,0,0,0,0,0,1,1,0.02537023,0.05129056,0.006374872,0.998341
651.0195,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.09266908,0.718568,0.0975934,0.6823108,1,0,0,0,75.51775,115.9383,0,1,0,0,0,0,0,0,1,1,0.01574157,0.03627239,0.01294965,0.9991341
651.069,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.09640269,0.7412058,0.1090388,0.6553099,1,0,0,0,74.16921,113.868,0,1,0,0,0,0,0,0,1,1,0.001297607,0.008926922,-0.002017829,0.9999572
651.1194,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.09785293,0.7540948,0.1154619,0.6390887,1,0,0,0,75.51775,115.9383,0,1,0,0,0,0,0,0,1,1,-0.006048828,-0.008073886,-0.003241234,0.999944
651.1696,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.0977043,0.7601741,0.1176179,0.6314707,1,0,0,0,74.16921,113.868,0,1,0,0,0,0,0,0,1,1,-0.008349722,-0.008653323,-0.006018768,0.9999096
651.2191,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.09657001,0.7624769,0.117069,0.628966,1,0,0,0,74.16921,113.868,0,1,0,0,0,0,0,0,1,1,-0.00556377,-0.007596795,-0.00132726,0.9999546
651.2697,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.09569591,0.7620651,0.1157866,0.6298354,1,0,0,0,70.12361,107.657,0,1,0,0,0,0,0,0,1,1,-0.00537114,-0.008920115,-0.002307394,0.9999431
651.3192,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.09371306,0.7591185,0.112148,0.6343341,1,0,0,0,74.16921,113.868,0,1,0,0,0,0,0,0,1,1,-0.008134405,-0.01600851,-0.005728769,0.9998224
651.3697,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.09299323,0.755079,0.1097737,0.6396543,1,0,0,0,68.77508,105.5867,0,1,0,0,0,0,0,0,1,1,-0.001402676,-0.007532183,0.0007702287,0.9999701
651.4192,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.09028391,0.7498854,0.1046457,0.6469698,1,0,0,0,74.16921,113.868,0,1,0,0,0,0,0,0,1,1,-0.01491459,-0.02058876,-0.01628713,0.9995439
651.469,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.08343092,0.7429902,0.09430001,0.6573526,1,0,0,0,74.16921,113.868,0,1,0,0,0,0,0,0,1,1,-0.01504744,-0.01831798,-0.01977389,0.999523
651.5194,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.07335178,0.7374601,0.08116475,0.6664717,1,0,0,0,75.51775,115.9383,0,1,0,0,0,0,0,0,1,1,-0.01150477,-0.006615694,-0.02208627,0.999668
651.5689,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.05908717,0.7334364,0.06428564,0.6741269,1,0,0,0,74.16921,113.868,0,1,0,0,0,0,0,0,1,1,-0.0201566,-0.01066397,-0.03214336,0.9992232
651.6193,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.04047767,0.7294272,0.04332533,0.681484,1,0,0,0,75.51775,115.9383,0,1,0,0,0,0,0,0,1,1,-0.01991281,-0.007531326,-0.03299805,0.9992288
651.6696,3.2335,1.394525,2,3.585675E-08,-4.17353E-07,3.134415E-07,1,1.018978,-0.02489976,0.7272134,0.02641684,0.6854508,1,0,0,0,71.47215,109.7273,0,1,0,0,0,0,0,0,1,1,-0.005563312,0.003469913,-0.01249321,0.9999003
