2,1,Time5-Task1
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
291.0451,3.559798,1.142458,1.64605,0.004310557,-0.01782716,-0.007559862,0.9998032,0.1538355,-0.01339453,0.6483734,0.01141038,0.7611191,0,0,0,0,39.40668,0,1,0,0,0,2.968321E-10,-2.631936E-09,6.188948E-10,1,1,0,0,0,1,1,1,0,0,0,4.131151E-11,-2.700662E-10,1.203675E-09,1,1,0,0,0,1
291.0952,3.559849,1.142458,1.646055,0.004310557,-0.01782713,-0.007559857,0.9998032,0.1538355,-0.01331293,0.6485924,0.01134745,0.7609349,0,0,0,0,39.3564,0,1,0,0,0,3.579795E-10,1.632309E-08,3.036651E-10,0.9999999,1,0,0,0,1,1,1,0,0,0,1.956878E-10,1.766562E-08,1.429235E-09,0.9999999,1,0,0,0,1
291.145,3.559858,1.142458,1.646056,0.004310559,-0.01782714,-0.007559862,0.9998032,0.1538355,-0.01325828,0.6487528,0.01130566,0.7607998,0,0,0,0,39.34567,0,1,0,0,0,2.768793E-10,-1.431038E-09,-2.322418E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,3.741394E-10,-3.777592E-09,-1.482974E-09,0.9999999,1,0,0,0,1
291.1957,3.581897,1.142673,1.660741,0.004310561,-0.01782712,-0.007559864,0.9998032,0.1538355,-0.01321863,0.648757,0.01127196,0.7607974,0,0,0,0,37.76447,0,1,0,0,0,4.896333E-10,6.006161E-09,-1.15576E-09,1,1,0,0,0,1,1,1,0.03420277,0.0002830105,0.02121073,5.462095E-10,7.640543E-09,-9.733565E-10,1,1,0,0,0,1
291.2451,3.640128,1.142303,1.67304,0.004310561,-0.01782714,-0.007559861,0.9998032,0.1538355,-0.01316445,0.6486352,0.0112221,0.7609028,0,0,0,0,35.24162,0,1,0,0,0,-7.006868E-10,-1.882761E-09,2.485186E-09,1,1,0,0,0,1,1,1,0.07441739,-0.000694031,0.009752234,-4.839277E-10,-7.284102E-09,3.494294E-09,1,1,0,0,0,1
291.295,3.681809,1.141579,1.686158,0.004310562,-0.01782718,-0.007559865,0.9998032,0.1538355,-0.01307401,0.6485039,0.01114107,0.7610176,1,-0.01202273,0,0,33.24864,0,1,0,0,0,2.706682E-10,-1.703887E-08,-2.015612E-09,1,1,0,0,0,1,1,1,0.09479359,-0.000707483,0.01760923,4.427226E-10,-2.040743E-08,-2.044359E-09,1,1,0,0,0,1
291.3458,3.679759,1.141089,1.700209,0.004310562,-0.01782717,-0.007559861,0.9998032,0.1538355,-0.01299155,0.6481765,0.01106112,0.761299,1,-0.01804876,0,0,31.57067,0,1,0,0,0,-1.48192E-10,1.589974E-09,2.450326E-09,1,1,0,0,0,1,1,1,0.0713997,-0.0004365269,0.009801796,-6.601221E-11,-4.761196E-10,1.506286E-09,1,1,0,0,0,1
291.3958,3.673405,1.141454,1.716294,0.004310561,-0.01782713,-0.00755987,0.9998032,0.1538355,-0.01293148,0.6476674,0.01099504,0.7617341,1,-0.01190472,0,0,31.21118,0,1,0,0,0,2.750742E-10,1.755727E-08,-4.824549E-09,1,1,0,0,0,1,1,1,0.05248226,0.0007429657,0.0174533,2.415955E-10,9.361055E-09,-3.39716E-09,1,1,0,0,0,1
291.4454,3.667782,1.141835,1.724012,0.004310566,-0.01782715,-0.007559864,0.9998032,0.1538355,-0.01289921,0.6470703,0.01095019,0.7622426,1,-0.00586915,0,0,30.78508,0,1,0,0,0,3.578523E-10,-7.625975E-09,2.676606E-09,1,1,0,0,0,1,1,1,0.02054879,0.000367985,0.005229494,4.025601E-10,-6.622664E-09,5.080891E-09,1,1,0,0,0,1
291.495,3.668338,1.142961,1.741485,0.004310566,-0.01782718,-0.007559855,0.9998032,0.1538355,-0.01289372,0.6463745,0.01092529,0.7628332,1,-0.001374483,-7.987022E-06,0.0009618998,30.37675,0,1,0,0,0,-3.439901E-11,-1.624207E-08,4.931595E-09,1,1,0,0,0,1,1,1,0.01582223,0.001431365,0.01988939,-3.439901E-11,-1.624207E-08,4.931595E-09,1,1,0,0,0,1
291.5454,3.666032,1.143862,1.750486,0.004310563,-0.01782718,-0.007559881,0.9998032,0.1538355,-0.01291155,0.6456032,0.010918,0.7634858,1,-0.002325535,0,0,25.50197,0,1,0,0,0,3.255064E-10,-1.319005E-10,-1.305401E-08,1,1,0,0,0,1,1,1,0.01154654,0.0006277077,0.004403198,3.255064E-10,-1.319005E-10,-1.305401E-08,1,1,0,0,0,1
