1,7,Lindo-SnowmanBuild
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
1694.379,-73.5004,-57.92023,-225.5687,-0.6174355,0.007100984,-0.07514218,0.7829921,0.1560363,0.372185,-0.08042645,0.03239208,0.9240999,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.610424,1.96773,2.104067,0,1,-0.04531735,0.007145822,0.01643637,4.57792E-09,7.35449E-09,1.884814E-08,1,1,0,0,0,1
1694.429,-73.53076,-57.91623,-225.5657,-0.6174358,0.007100964,-0.07514223,0.7829919,0.1560363,0.3709064,-0.08025517,0.03219339,0.9246357,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.611493,1.96773,2.104067,0,1,-0.02313705,0.002241205,-0.005826253,4.445176E-08,-1.814816E-08,8.773613E-11,1,1,0,0,0,1
1694.479,-73.53853,-57.91706,-225.587,-0.6174359,0.007100949,-0.07514226,0.7829918,0.1560363,0.3699977,-0.08064699,0.03225987,0.9249633,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.609671,1.96773,2.104067,0,1,0.001485142,-0.002817998,-0.03212573,8.506436E-08,-2.483579E-08,-5.353482E-09,1,1,0,0,0,1
1694.529,-73.53864,-57.92023,-225.6283,-0.6174359,0.007100926,-0.07514227,0.7829917,0.1560363,0.3698189,-0.0811533,0.03244599,0.924984,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.603564,1.96773,2.104067,0,1,0.0006496129,-0.004183008,-0.05479416,2.008493E-07,-1.283681E-08,5.576525E-09,1,1,0,0,0,1
1694.579,-73.53248,-57.9263,-225.7012,-0.6174361,0.007100942,-0.07514231,0.7829916,0.1560363,0.3706868,-0.08173314,0.03276903,0.9245741,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.592793,1.96773,2.104067,0,1,0.009028858,-0.006175038,-0.0704762,-1.058234E-07,3.852118E-09,-1.919357E-08,1,1,0,0,0,1
1694.629,-73.51255,-57.93283,-225.7608,-0.6174361,0.007100953,-0.0751423,0.7829916,0.1560363,0.372361,-0.08207912,0.03308195,0.9238593,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.583837,1.96773,2.104067,0,1,0.02765032,-0.007376538,-0.06034719,7.349356E-09,9.567835E-09,8.918885E-09,1,1,0,0,0,1
1694.679,-73.48447,-57.93951,-225.8122,-0.6174361,0.007100956,-0.0751423,0.7829916,0.1560363,0.3746898,-0.0818233,0.03321833,0.922935,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.5779,1.96773,2.104067,0,1,0.02704144,-0.005923828,-0.04277464,-1.950493E-08,-1.484328E-09,9.30039E-10,1,1,0,0,0,1
1694.729,-73.46346,-57.94339,-225.8349,-0.6174362,0.007100975,-0.0751423,0.7829915,0.1560363,0.3771342,-0.08111889,0.03318072,0.9220025,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.575697,1.96773,2.104067,0,1,0.02536572,-0.003505405,-0.01029896,-3.30396E-08,4.329993E-09,-6.176013E-09,1,1,0,0,0,1
1694.779,-73.44608,-57.9452,-225.8333,-0.6174361,0.007100967,-0.07514232,0.7829916,0.1560363,0.37923,-0.07999679,0.03293047,0.9212496,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.576161,1.96773,2.104067,0,1,0.009095396,-0.0004634313,0.007465895,-1.609765E-08,-2.861265E-10,-6.864029E-09,1,1,0,0,0,1
1694.829,-73.44115,-57.94559,-225.8313,-0.6174361,0.007100963,-0.0751423,0.7829916,0.1560363,0.3808588,-0.07884112,0.03261401,0.9206883,0,0,0,0,0.1484349,0.3389242,6.171091,5.973095,1.577021,1.96773,2.104067,0,1,0,0,0,6.399512E-08,7.425396E-09,2.144017E-08,1,1,0,0,0,1
